"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Austria"," 2002","5.33 [5.13-5.54]","5.86 [5.62-6.11]","4.77 [4.57-4.99]","410 [394-425]","231 [221-241]","179 [171-187]"
"Austria"," 2001","5.42 [5.22-5.64]","5.96 [5.71-6.22]","4.86 [4.65-5.08]","420 [404-436]","237 [226-246]","183 [175-192]"
"Austria"," 2000","5.51 [5.31-5.71]","6.04 [5.8-6.29]","4.94 [4.73-5.16]","435 [419-451]","245 [235-254]","190 [182-198]"
"Austria"," 1999","5.6 [5.4-5.81]","6.14 [5.89-6.39]","5.04 [4.83-5.27]","452 [436-469]","254 [244-264]","198 [190-207]"
"Austria"," 1998","5.75 [5.54-5.96]","6.3 [6.05-6.54]","5.18 [4.97-5.4]","482 [464-499]","271 [259-281]","211 [203-220]"
"Austria"," 1997","5.99 [5.77-6.2]","6.54 [6.28-6.8]","5.4 [5.18-5.63]","522 [503-540]","292 [281-304]","230 [220-239]"
"Austria"," 1996","6.33 [6.11-6.55]","6.92 [6.66-7.19]","5.71 [5.48-5.95]","568 [548-587]","319 [306-330]","249 [239-260]"
"Austria"," 1995","6.8 [6.59-7.02]","7.48 [7.22-7.75]","6.1 [5.87-6.33]","620 [601-639]","350 [337-362]","270 [261-281]"
"Austria"," 1994","7.37 [7.15-7.6]","8.11 [7.84-8.4]","6.59 [6.35-6.84]","687 [666-708]","388 [374-402]","299 [288-310]"
"Austria"," 1993","7.97 [7.74-8.22]","8.82 [8.54-9.13]","7.08 [6.84-7.35]","751 [729-774]","426 [413-441]","325 [313-337]"
"Austria"," 1992","8.56 [8.32-8.82]","9.48 [9.18-9.81]","7.6 [7.33-7.88]","800 [777-824]","455 [441-471]","345 [333-358]"
"Austria"," 1991","9.08 [8.83-9.35]","10.08 [9.76-10.42]","8.03 [7.75-8.32]","826 [803-851]","471 [456-487]","355 [343-368]"
"Austria"," 1990","9.51 [9.26-9.77]","10.56 [10.24-10.89]","8.41 [8.14-8.69]","843 [821-866]","480 [466-496]","363 [351-375]"
"Austria"," 1989","9.95 [9.66-10.23]","11.06 [10.7-11.41]","8.79 [8.48-9.09]","873 [848-898]","498 [482-514]","375 [362-388]"
"Austria"," 1988","10.49 [10.2-10.77]","11.69 [11.32-12.07]","9.23 [8.91-9.54]","915 [890-940]","523 [507-540]","392 [378-405]"
"Austria"," 1987","11.15 [10.85-11.44]","12.46 [12.1-12.85]","9.77 [9.45-10.09]","971 [945-996]","556 [540-573]","415 [401-428]"
"Austria"," 1986","11.87 [11.56-12.18]","13.34 [12.94-13.74]","10.33 [9.99-10.66]","1 040 [1 013-1 068]","599 [582-617]","441 [427-455]"
"Austria"," 1985","12.6 [12.3-12.91]","14.21 [13.82-14.61]","10.9 [10.57-11.24]","1 117 [1 091-1 145]","645 [628-664]","472 [457-486]"
"Austria"," 1984","13.32 [13.01-13.66]","15.05 [14.62-15.46]","11.53 [11.17-11.89]","1 198 [1 169-1 228]","692 [673-711]","506 [491-522]"
