"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Argentina"," 2002","18.34 [17.99-18.69]","20.12 [19.71-20.54]","16.47 [16.12-16.83]","13 022 [12 769-13 269]","7 328 [7 177-7 481]","5 694 [5 573-5 818]"
"Argentina"," 2001","18.99 [18.63-19.37]","20.92 [20.49-21.36]","16.97 [16.6-17.34]","13 547 [13 285-13 811]","7 653 [7 496-7 816]","5 894 [5 767-6 023]"
"Argentina"," 2000","19.68 [19.3-20.04]","21.74 [21.3-22.18]","17.51 [17.14-17.89]","14 121 [13 853-14 385]","8 004 [7 845-8 168]","6 117 [5 988-6 250]"
"Argentina"," 1999","20.42 [20.01-20.81]","22.56 [22.09-23.03]","18.17 [17.77-18.58]","14 637 [14 350-14 920]","8 297 [8 127-8 473]","6 340 [6 203-6 483]"
"Argentina"," 1998","21.26 [20.85-21.66]","23.57 [23.09-24.05]","18.82 [18.42-19.23]","15 197 [14 907-15 488]","8 646 [8 471-8 824]","6 551 [6 412-6 692]"
"Argentina"," 1997","22.19 [21.77-22.62]","24.54 [24.04-25.05]","19.73 [19.31-20.14]","15 950 [15 648-16 256]","9 046 [8 867-9 237]","6 904 [6 761-7 051]"
"Argentina"," 1996","23.21 [22.77-23.66]","25.73 [25.21-26.26]","20.56 [20.13-21.01]","16 857 [16 534-17 182]","9 587 [9 392-9 784]","7 270 [7 117-7 431]"
"Argentina"," 1995","24.3 [23.84-24.75]","26.84 [26.31-27.39]","21.62 [21.17-22.08]","17 796 [17 463-18 125]","10 089 [9 892-10 294]","7 707 [7 548-7 872]"
"Argentina"," 1994","25.42 [24.93-25.92]","28.1 [27.52-28.68]","22.61 [22.13-23.1]","18 612 [18 255-18 978]","10 555 [10 341-10 774]","8 057 [7 889-8 234]"
"Argentina"," 1993","26.54 [26.04-27.05]","29.23 [28.64-29.83]","23.73 [23.22-24.23]","19 286 [18 920-19 655]","10 892 [10 676-11 118]","8 394 [8 218-8 571]"
"Argentina"," 1992","27.57 [27.04-28.1]","30.28 [29.67-30.9]","24.72 [24.21-25.25]","19 871 [19 497-20 258]","11 196 [10 975-11 426]","8 675 [8 497-8 863]"
"Argentina"," 1991","28.34 [27.79-28.9]","31.22 [30.58-31.87]","25.31 [24.78-25.86]","20 274 [19 887-20 673]","11 458 [11 227-11 697]","8 816 [8 633-9 009]"
"Argentina"," 1990","28.77 [28.24-29.3]","31.72 [31.09-32.37]","25.66 [25.13-26.19]","20 325 [19 951-20 702]","11 495 [11 270-11 730]","8 830 [8 647-9 011]"
"Argentina"," 1989","28.94 [28.38-29.49]","31.97 [31.31-32.62]","25.76 [25.2-26.29]","20 189 [19 804-20 575]","11 438 [11 206-11 674]","8 751 [8 566-8 935]"
"Argentina"," 1988","28.97 [28.42-29.52]","32.1 [31.46-32.74]","25.68 [25.15-26.22]","20 061 [19 682-20 442]","11 397 [11 172-11 624]","8 664 [8 487-8 847]"
"Argentina"," 1987","29.09 [28.55-29.64]","32.1 [31.47-32.75]","25.92 [25.38-26.46]","19 996 [19 626-20 372]","11 310 [11 090-11 541]","8 686 [8 505-8 867]"
"Argentina"," 1986","29.57 [29-30.15]","32.58 [31.93-33.25]","26.41 [25.86-26.97]","20 201 [19 813-20 595]","11 403 [11 175-11 637]","8 798 [8 614-8 984]"
"Argentina"," 1985","30.6 [30.02-31.17]","33.72 [33.05-34.41]","27.32 [26.75-27.88]","20 812 [20 419-21 201]","11 742 [11 508-11 981]","9 070 [8 881-9 254]"
"Argentina"," 1984","32.12 [31.5-32.75]","35.31 [34.6-36.04]","28.77 [28.16-29.39]","21 805 [21 383-22 234]","12 260 [12 010-12 511]","9 545 [9 340-9 749]"
"Argentina"," 1983","34.08 [33.44-34.74]","37.72 [36.98-38.5]","30.25 [29.64-30.91]","23 142 [22 704-23 591]","13 091 [12 827-13 355]","10 051 [9 843-10 265]"
"Argentina"," 1982","36.49 [35.8-37.2]","40.18 [39.38-41.01]","32.61 [31.94-33.29]","24 835 [24 367-25 318]","13 976 [13 693-14 261]","10 859 [10 632-11 080]"
