"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Bahrain"," 1975","47.04 [42.68-51.93]","48.99 [44.24-54.31]","44.94 [40.58-49.95]","422 [383-465]","222 [200-245]","200 [181-222]"
"Bahrain"," 1974","51.4 [46.28-57.4]","53.49 [47.84-60.01]","49.18 [44.07-55.31]","449 [405-500]","236 [211-264]","213 [191-239]"
"Bahrain"," 1973","56.43 [50.42-63.66]","58.6 [52.06-66.31]","54.18 [48.18-61.42]","481 [431-542]","252 [224-285]","229 [204-259]"
"Bahrain"," 1972","62.24 [55.26-70.54]","64.43 [56.91-73.44]","59.88 [52.88-68.3]","521 [463-590]","273 [241-310]","248 [219-283]"
"Bahrain"," 1971","68.83 [60.75-78.27]","71.05 [62.39-81.29]","66.47 [58.29-75.98]","573 [506-651]","300 [263-342]","273 [240-312]"
"Bahrain"," 1970","76.25 [66.88-86.97]","78.47 [68.47-90.04]","73.79 [64.46-84.61]","634 [557-723]","331 [289-379]","303 [265-347]"
"Bahrain"," 1969","84.44 [73.73-96.55]","86.65 [75.32-99.62]","81.98 [71.38-94.05]","702 [615-802]","365 [318-419]","337 [293-386]"
"Bahrain"," 1968","93.49 [81.43-107.17]","95.63 [83.01-110.02]","91.01 [79.09-104.67]","777 [678-889]","404 [350-463]","373 [325-428]"
"Bahrain"," 1967","103.31 [89.96-118.05]","105.46 [91.46-121.46]","100.86 [87.52-115.79]","856 [747-977]","444 [385-509]","412 [358-472]"
"Bahrain"," 1966","113.99 [99.4-130.16]","116.11 [100.81-133.47]","111.62 [96.9-127.88]","937 [819-1 068]","485 [422-556]","452 [393-517]"
"Bahrain"," 1965","125.45 [109.57-143.15]","127.64 [110.87-146.43]","123.13 [106.87-141.03]","1 016 [889-1 156]","525 [457-601]","491 [427-561]"
"Bahrain"," 1964","137.98 [120.71-157.04]","140 [121.98-160.39]","135.66 [118.05-155.38]","1 090 [956-1 238]","563 [491-642]","527 [460-602]"
"Bahrain"," 1963","151.4 [132.51-172.34]","153.43 [133.7-175.64]","149.08 [129.96-170.72]","1 164 [1 022-1 322]","600 [524-684]","564 [493-644]"
"Bahrain"," 1962","165.84 [145.21-189.05]","167.79 [146.05-192.04]","163.59 [142.44-187.7]","1 239 [1 088-1 408]","638 [556-727]","601 [525-687]"
"Bahrain"," 1961","181.12 [158.27-207.36]","183.04 [159.28-210.75]","179.01 [155.62-206.1]","1 311 [1 151-1 494]","674 [589-771]","637 [556-730]"
"Bahrain"," 1960","197.73 [171.23-228]","199.74 [172.01-231.89]","195.65 [168.86-227.13]","","",""
"Bahrain"," 1959","215.53 [184.41-253.15]","217.58 [185.31-256.94]","213.5 [181.99-251.38]","","",""
"Bahrain"," 1958","234.85 [197-281.85]","236.96 [198.15-286]","232.13 [194.13-279.84]","","",""
"Bahrain"," 1957","255.46 [208.53-315.9]","257.98 [210.01-319.55]","252.83 [205.58-313.91]","","",""
"Bahrain"," 1956","278.01 [220.36-356.06]","280.22 [221.42-359.31]","275.06 [217.07-353.22]","","",""
"Bahrain"," 1955","302.35 [230.67-403.22]","","","","",""
"Djibouti"," 2021","54.14 [29.81-95.83]","58.8 [32.45-103.71]","49.01 [26.95-87.26]","1 316 [726-2 325]","729 [403-1 278]","587 [322-1 040]"
"Djibouti"," 2020","55.95 [31.76-95.32]","60.92 [34.48-103.67]","50.79 [28.72-87.14]","1 356 [771-2 304]","752 [427-1 276]","604 [343-1 034]"
"Djibouti"," 2019","57.92 [33.98-95.42]","62.91 [36.89-103.7]","52.58 [30.83-87.02]","1 397 [822-2 296]","773 [454-1 270]","624 [366-1 029]"
"Djibouti"," 2018","59.94 [36.3-95.13]","64.96 [39.24-103.24]","54.4 [32.87-86.66]","1 439 [874-2 277]","796 [481-1 258]","643 [389-1 021]"
"Djibouti"," 2017","61.92 [38.77-95.19]","67.07 [41.86-103.43]","56.36 [35.31-86.73]","1 480 [928-2 270]","817 [510-1 255]","663 [415-1 017]"
"Djibouti"," 2016","63.79 [41.54-95.25]","69.13 [44.72-103.15]","58.25 [37.75-86.88]","1 519 [991-2 263]","838 [543-1 247]","681 [442-1 015]"
"Djibouti"," 2015","65.63 [44.12-95.3]","71.12 [47.7-103.2]","60.11 [40.27-87.18]","1 559 [1 050-2 261]","859 [578-1 246]","700 [471-1 016]"
"Djibouti"," 2014","67.84 [46.93-95.22]","73.32 [50.55-103.2]","62.12 [43-87.45]","1 609 [1 115-2 256]","885 [611-1 245]","724 [501-1 017]"
"Djibouti"," 2013","69.88 [50.11-95.63]","75.52 [53.75-103.54]","64.1 [45.85-87.86]","1 657 [1 190-2 267]","910 [649-1 247]","747 [535-1 023]"
"Djibouti"," 2012","72.16 [53.21-96.22]","77.75 [57.25-104.1]","66.17 [48.79-88.73]","1 711 [1 261-2 279]","940 [692-1 253]","771 [569-1 032]"
"Djibouti"," 2011","74.31 [56.4-97.23]","80.07 [60.5-104.9]","68.14 [51.57-89.83]","1 766 [1 341-2 308]","970 [732-1 267]","796 [602-1 048]"
"Djibouti"," 2010","76.51 [59.54-98.07]","82.41 [63.99-106.02]","70.24 [54.53-90.7]","1 828 [1 423-2 342]","1 003 [778-1 288]","825 [640-1 063]"
"Djibouti"," 2009","78.87 [62.81-99.13]","84.74 [67.3-106.84]","72.5 [57.61-91.53]","1 895 [1 510-2 381]","1 038 [823-1 305]","857 [680-1 080]"
"Djibouti"," 2008","81.25 [66-100.18]","87.24 [70.56-107.88]","74.86 [60.45-92.95]","1 970 [1 600-2 428]","1 078 [871-1 329]","892 [720-1 106]"
"Djibouti"," 2007","83.67 [68.75-102.16]","89.68 [73.33-109.93]","77.21 [63.01-94.8]","2 050 [1 685-2 501]","1 120 [915-1 370]","930 [758-1 140]"
"Djibouti"," 2006","86.08 [71.25-104.06]","92.14 [75.9-111.91]","79.63 [65.51-96.82]","2 134 [1 767-2 579]","1 164 [958-1 411]","970 [798-1 178]"
"Djibouti"," 2005","88.51 [73.87-106.54]","94.66 [78.78-114.17]","82.06 [67.96-99.18]","2 224 [1 858-2 674]","1 211 [1 008-1 457]","1 013 [839-1 222]"
"Djibouti"," 2004","90.99 [76.37-109.01]","97.07 [81.39-116.91]","84.37 [70.32-101.58]","2 309 [1 941-2 763]","1 256 [1 053-1 507]","1 053 [878-1 264]"
"Djibouti"," 2003","93.42 [78.9-111.33]","99.64 [83.99-119.54]","86.78 [72.72-103.94]","2 368 [2 004-2 817]","1 287 [1 086-1 539]","1 081 [906-1 290]"
"Djibouti"," 2002","95.94 [81.5-114.21]","102.3 [86.74-122.45]","89.15 [74.98-106.62]","2 388 [2 033-2 835]","1 298 [1 101-1 547]","1 090 [918-1 300]"
"Djibouti"," 2001","98.35 [83.83-116.68]","104.82 [89.01-124.8]","91.56 [77.37-109.12]","2 387 [2 039-2 826]","1 296 [1 102-1 539]","1 091 [923-1 297]"
"Djibouti"," 2000","100.57 [86.04-119.15]","107.12 [91.33-127.45]","93.73 [79.57-111.58]","2 378 [2 038-2 811]","1 290 [1 102-1 529]","1 088 [925-1 292]"
"Djibouti"," 1999","102.68 [88.09-121.51]","109.36 [93.55-129.71]","95.71 [81.58-113.82]","2 362 [2 029-2 789]","1 281 [1 097-1 516]","1 081 [923-1 283]"
