"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Brunei Darussalam"," 2017","11.01 [10.18-11.95]","11.94 [10.98-13.03]","10.04 [9.21-10.98]","75 [69-81]","42 [39-46]","33 [30-36]"
"Brunei Darussalam"," 2016","10.81 [10.08-11.6]","11.71 [10.83-12.64]","9.85 [9.1-10.69]","75 [70-80]","42 [39-46]","33 [30-36]"
"Brunei Darussalam"," 2015","10.59 [9.9-11.32]","11.47 [10.65-12.35]","9.66 [8.94-10.44]","74 [69-79]","41 [39-45]","33 [30-35]"
"Brunei Darussalam"," 2014","10.38 [9.7-11.09]","11.24 [10.43-12.09]","9.46 [8.76-10.22]","73 [68-78]","41 [38-44]","32 [30-35]"
"Brunei Darussalam"," 2013","10.17 [9.51-10.89]","11 [10.21-11.85]","9.31 [8.62-10.06]","71 [67-76]","40 [37-43]","31 [29-34]"
"Brunei Darussalam"," 2012","9.99 [9.32-10.7]","10.79 [10-11.63]","9.15 [8.46-9.88]","69 [65-74]","38 [36-42]","31 [28-33]"
"Brunei Darussalam"," 2011","9.83 [9.16-10.53]","10.61 [9.82-11.44]","9.01 [8.32-9.74]","67 [62-72]","37 [35-40]","30 [27-32]"
"Brunei Darussalam"," 2010","9.69 [9.03-10.39]","10.45 [9.68-11.29]","8.89 [8.21-9.61]","64 [60-69]","36 [33-39]","28 [26-31]"
"Brunei Darussalam"," 2009","9.58 [8.94-10.28]","10.33 [9.58-11.16]","8.8 [8.12-9.52]","62 [58-67]","35 [32-37]","27 [25-30]"
"Brunei Darussalam"," 2008","9.51 [8.88-10.2]","10.24 [9.51-11.05]","8.73 [8.08-9.45]","61 [56-65]","34 [31-36]","27 [25-29]"
"Brunei Darussalam"," 2007","9.47 [8.84-10.16]","10.19 [9.47-11]","8.7 [8.06-9.4]","60 [56-64]","34 [31-36]","26 [25-29]"
"Brunei Darussalam"," 2006","9.46 [8.84-10.14]","10.18 [9.45-10.97]","8.7 [8.07-9.4]","59 [55-64]","33 [31-36]","26 [24-29]"
"Brunei Darussalam"," 2005","9.49 [8.87-10.15]","10.2 [9.47-10.99]","8.73 [8.1-9.43]","60 [56-64]","33 [31-36]","27 [25-29]"
"Brunei Darussalam"," 2004","9.55 [8.94-10.21]","10.27 [9.54-11.05]","8.8 [8.17-9.5]","60 [56-64]","33 [31-36]","27 [25-29]"
"Brunei Darussalam"," 2003","9.65 [9.05-10.33]","10.38 [9.66-11.17]","8.9 [8.27-9.6]","61 [57-65]","34 [31-36]","27 [25-29]"
"Brunei Darussalam"," 2002","9.82 [9.2-10.51]","10.55 [9.82-11.37]","9.05 [8.41-9.76]","62 [58-66]","34 [32-37]","28 [26-30]"
"Brunei Darussalam"," 2001","10.04 [9.41-10.73]","10.79 [10.05-11.61]","9.25 [8.61-9.97]","64 [60-68]","36 [33-38]","28 [26-31]"
"Brunei Darussalam"," 2000","10.33 [9.68-11.03]","11.09 [10.33-11.93]","9.51 [8.84-10.23]","66 [62-70]","37 [34-39]","29 [27-31]"
"Brunei Darussalam"," 1999","10.68 [10.01-11.39]","11.48 [10.7-12.32]","9.83 [9.14-10.56]","69 [64-73]","39 [36-41]","30 [28-33]"
"Brunei Darussalam"," 1998","11.07 [10.4-11.79]","11.95 [11.15-12.8]","10.16 [9.47-10.92]","72 [68-77]","40 [38-43]","32 [30-34]"
"Brunei Darussalam"," 1997","11.52 [10.83-12.26]","12.43 [11.62-13.32]","10.56 [9.86-11.33]","77 [72-82]","43 [40-46]","34 [32-36]"
"Brunei Darussalam"," 1996","11.99 [11.28-12.73]","12.94 [12.1-13.84]","10.99 [10.26-11.76]","82 [77-87]","46 [43-49]","36 [34-39]"
"Brunei Darussalam"," 1995","12.43 [11.71-13.18]","13.43 [12.59-14.35]","11.37 [10.62-12.16]","87 [82-92]","49 [46-52]","38 [36-41]"
"Brunei Darussalam"," 1994","12.8 [12.09-13.55]","13.85 [12.98-14.76]","11.71 [10.96-12.51]","92 [87-97]","51 [48-55]","41 [38-43]"
"Brunei Darussalam"," 1993","13.08 [12.36-13.84]","14.15 [13.27-15.05]","11.95 [11.2-12.78]","96 [90-101]","54 [50-57]","42 [40-45]"
"Brunei Darussalam"," 1992","13.24 [12.5-14.01]","14.32 [13.44-15.25]","12.1 [11.31-12.91]","98 [92-104]","55 [51-58]","43 [40-46]"
"Brunei Darussalam"," 1991","13.28 [12.53-14.07]","14.37 [13.49-15.3]","12.12 [11.34-12.96]","98 [92-104]","55 [51-58]","43 [40-46]"
"Brunei Darussalam"," 1990","13.28 [12.52-14.11]","14.39 [13.5-15.34]","12.11 [11.31-12.98]","97 [91-103]","54 [51-58]","43 [40-46]"
"Brunei Darussalam"," 1989","13.35 [12.57-14.15]","14.46 [13.55-15.42]","12.15 [11.35-13.01]","95 [90-101]","53 [50-57]","42 [39-45]"
"Brunei Darussalam"," 1988","13.48 [12.7-14.31]","14.63 [13.72-15.61]","12.28 [11.46-13.13]","94 [89-100]","53 [49-56]","41 [39-44]"
"Brunei Darussalam"," 1987","13.76 [12.96-14.6]","14.95 [14-15.94]","12.52 [11.69-13.39]","94 [88-99]","53 [49-56]","41 [38-44]"
"Brunei Darussalam"," 1986","14.19 [13.37-15.06]","15.44 [14.47-16.47]","12.88 [12.03-13.8]","94 [89-100]","53 [50-57]","41 [39-44]"
"Brunei Darussalam"," 1985","14.78 [13.91-15.71]","16.1 [15.07-17.18]","13.4 [12.5-14.36]","96 [90-102]","54 [50-57]","42 [39-45]"
"Brunei Darussalam"," 1984","15.53 [14.62-16.52]","16.95 [15.85-18.1]","14.05 [13.1-15.06]","98 [92-104]","55 [52-59]","43 [40-46]"
"Brunei Darussalam"," 1983","16.46 [15.45-17.54]","17.97 [16.8-19.23]","14.87 [13.85-15.96]","101 [95-108]","57 [53-61]","44 [41-47]"
"Brunei Darussalam"," 1982","17.61 [16.51-18.79]","19.25 [17.95-20.63]","15.88 [14.77-17.06]","106 [99-113]","60 [56-64]","46 [43-50]"
"Brunei Darussalam"," 1981","18.99 [17.8-20.28]","20.77 [19.39-22.27]","17.12 [15.93-18.41]","112 [105-120]","63 [59-68]","49 [45-53]"
"Brunei Darussalam"," 1980","20.64 [19.35-22.03]","22.61 [21.09-24.22]","18.58 [17.28-19.96]","120 [112-128]","68 [63-73]","52 [48-56]"
"Brunei Darussalam"," 1979","22.59 [21.23-24.03]","24.72 [23.12-26.4]","20.34 [18.97-21.78]","129 [121-137]","73 [68-78]","56 [52-60]"
"Brunei Darussalam"," 1978","24.83 [23.42-26.32]","27.15 [25.49-28.88]","22.4 [20.96-23.9]","139 [132-148]","78 [74-84]","61 [57-65]"
"Brunei Darussalam"," 1977","27.42 [25.99-28.94]","30 [28.3-31.79]","24.72 [23.26-26.25]","151 [144-160]","85 [81-91]","66 [62-70]"
"Brunei Darussalam"," 1976","30.4 [28.95-31.92]","33.2 [31.44-35.08]","27.45 [25.95-29.03]","165 [157-173]","93 [88-98]","72 [68-76]"
"Brunei Darussalam"," 1975","33.78 [32.27-35.38]","36.82 [35-38.83]","30.55 [28.96-32.22]","180 [172-188]","101 [96-107]","79 [75-83]"
